duchy_name,kingdom_name_867,empire_name_867,county_count_867,barony_count_867,average_development_867,special_buildings,alternative_names,capital_county_name,duchy_id,start_date,source
Essex,England,Britannia,5,19,6,The Tower of LondonLondon Bridge,"East Seaxe (Anglo-Saxon, Old Saxon)",Middlesex,d_bedford,867,CK3 Wiki List of duchies
Northumbria,England,Britannia,3,11,6,Hadrian's WallHadrian's WallHadrian's WallHadrian's Wall,"Northumberland (1178)Bryneich (Breton, Cornish, Cumbrian, Pictish, Welsh)Norroy (Norman, French, Outremer, Occitan)",Northumberland,d_northumberland,867,CK3 Wiki List of duchies
Lancaster,England,Britannia,4,11,5,Offa's Dyke,"Rheged (Breton, Cornish, Cumbrian, Welsh, Pictish)",Lancashire,d_lancaster,867,CK3 Wiki List of duchies
York,England,Britannia,4,19,6,Walls of YorkGrand Temple,"Jórvík (Norse, Norwegian, Swedish, Danish)Deira (Anglo-Saxon)Deifr (Breton, Cornish, Cumbrian, Welsh, Pictish)",North Riding,d_york,867,CK3 Wiki List of duchies
East Anglia,England,Britannia,3,12,5,University,"Jarnamóða (Norse, Norwegian)",Norfolk,d_norfolk,867,CK3 Wiki List of duchies
Mercia,England,Britannia,9,28,5,Offa's DykeOffa's DykeOffa's DykeOffa's DykeOffa's Dyke,Hereford (1178),Warwickshire,d_hereford,867,CK3 Wiki List of duchies
Hwicce,England,Britannia,4,14,5,Forest of Dean Mining SettlementStonehengeUniversity,Gloucester (1178),Gloucestershire,d_gloucester,867,CK3 Wiki List of duchies
Kent,England,Britannia,3,12,5,Canterbury Basilica,,Kent,d_canterbury,867,CK3 Wiki List of duchies
Wessex,England,Britannia,4,14,6,,,Hampshire,d_somerset,867,CK3 Wiki List of duchies
Cornwall,England,Britannia,2,7,5,,,Devon,d_cornwall,867,CK3 Wiki List of duchies
Gwynedd,Wales,Britannia,5,12,4,,,Ceredigion,d_gwynedd,867,CK3 Wiki List of duchies
Powys,Wales,Britannia,2,4,4,,,Penllyn,d_powys,867,CK3 Wiki List of duchies
Deheubarth,Wales,Britannia,5,12,4,,,Sir Gaerfyrddin,d_deheubarth,867,CK3 Wiki List of duchies
Albany,Scotland,Britannia,6,17,2,,"Circinn (Irish, Gaelic, Pictish, Welsh, Cumbrian, Cornish, Breton)",Gowrie,d_albany,867,CK3 Wiki List of duchies
Mann,Scotland,Britannia,1,2,2,,"Mön (Norse, Norwegian)",Isle of Man,d_the_isles,867,CK3 Wiki List of duchies
Strathclyde,Scotland,Britannia,5,13,2,University,"Galloway (1178)Galloway (Gaelic, Irish)Galvei (Norse, Norwegian)",Lennox,d_galloway,867,CK3 Wiki List of duchies
Isles,Scotland,Britannia,3,10,2,Grand Cathedral,"Suðreyjar (Norse, Norwegian)",Inner Hebrides,d_western_isles,867,CK3 Wiki List of duchies
Lothian,Scotland,Britannia,5,15,2,,"Gododdin (Breton, Cornish, Cumbrian, Welsh)",Lothian,d_lothian,867,CK3 Wiki List of duchies
Moray,Scotland,Britannia,6,20,2,,"Katanes (Norse, Norwegian)",Moray,d_moray,867,CK3 Wiki List of duchies
Meath,Ireland,Britannia,2,8,3,,,Dublin,d_meath,867,CK3 Wiki List of duchies
Ulster,Ireland,Britannia,3,13,2,Grand Cathedral,,Ulster,d_ulster,867,CK3 Wiki List of duchies
Connacht,Ireland,Britannia,3,13,2,,,Mayo,d_connacht,867,CK3 Wiki List of duchies
Leinster,Ireland,Britannia,2,8,2,,,Leinster,d_leinster,867,CK3 Wiki List of duchies
Munster,Ireland,Britannia,4,13,2,,,Thomond,d_munster,867,CK3 Wiki List of duchies
Angria,East Francia,Germania,7,22,5,,,Minden,d_angria,867,CK3 Wiki List of duchies
Westfalen,East Francia,Germania,5,19,5,Grand Temple,,Osnabrück,d_westfalen,867,CK3 Wiki List of duchies
Ostfalen,East Francia,Germania,5,15,6,,,Lüneburg,d_ostfalen,867,CK3 Wiki List of duchies
Holstein,East Francia,Germania,3,9,5,,,Lübeck,d_holstein,867,CK3 Wiki List of duchies
Holland,Frisia,Germania,3,11,5,,,Holland,d_holland,867,CK3 Wiki List of duchies
